userid,category,placeid,local_datetime,latitude,longitude,country_name,state_name
1338,Nightlife,482954,2011-06-23 02:24:22+00:00,44.9341976712,-93.1775057316,United States,Minnesota
116691,Nightlife,482954,2011-06-05 17:42:29+00:00,44.9341976712,-93.1775057316,United States,Minnesota
59161,Nightlife,482954,2011-01-14 01:39:11+00:00,44.9341976712,-93.1775057316,United States,Minnesota
59161,Nightlife,482954,2010-07-23 01:32:22+00:00,44.9341976712,-93.1775057316,United States,Minnesota
149777,Nightlife,482954,2010-03-18 01:40:40+00:00,44.9341976712,-93.1775057316,United States,Minnesota
45578,Nightlife,482954,2010-10-23 01:20:03+00:00,44.9341976712,-93.1775057316,United States,Minnesota
45578,Nightlife,482954,2010-05-09 01:13:33+00:00,44.9341976712,-93.1775057316,United States,Minnesota
1338,Nightlife,86560,2010-06-05 01:53:33+00:00,44.9399296326,-93.1358901496,United States,Minnesota
212715,Nightlife,86560,2010-06-06 20:09:46+00:00,44.9399296326,-93.1358901496,United States,Minnesota
59161,Nightlife,86560,2010-07-23 18:39:42+00:00,44.9399296326,-93.1358901496,United States,Minnesota
28279,Nightlife,86560,2010-10-29 23:33:59+00:00,44.9399296326,-93.1358901496,United States,Minnesota
29134,Nightlife,86560,2010-10-29 23:54:42+00:00,44.9399296326,-93.1358901496,United States,Minnesota
357612,Nightlife,86560,2011-03-15 21:24:52+00:00,44.9399296326,-93.1358901496,United States,Minnesota
45578,Nightlife,86560,2010-08-22 23:39:17+00:00,44.9399296326,-93.1358901496,United States,Minnesota
1338,Nightlife,480881,2010-06-05 01:53:18+00:00,44.9397753333,-93.1331687833,United States,Minnesota
49061,Nightlife,480881,2011-06-05 22:48:12+00:00,44.9397753333,-93.1331687833,United States,Minnesota
212715,Nightlife,480881,2010-06-06 20:02:44+00:00,44.9397753333,-93.1331687833,United States,Minnesota
28279,Nightlife,480881,2010-12-18 23:43:37+00:00,44.9397753333,-93.1331687833,United States,Minnesota
2320258,Nightlife,480881,2011-06-05 15:38:36+00:00,44.9397753333,-93.1331687833,United States,Minnesota
357612,Nightlife,480881,2011-01-11 01:01:26+00:00,44.9397753333,-93.1331687833,United States,Minnesota
8624,Nightlife,129781,2011-07-01 03:45:00+00:00,44.962106825,-93.2917195559,United States,Minnesota
116691,Nightlife,129781,2011-06-12 19:49:19+00:00,44.962106825,-93.2917195559,United States,Minnesota
49061,Nightlife,129781,2011-07-01 03:22:10+00:00,44.962106825,-93.2917195559,United States,Minnesota
49061,Nightlife,129781,2011-03-06 06:49:48+00:00,44.962106825,-93.2917195559,United States,Minnesota
49061,Nightlife,129781,2010-10-17 01:53:23+00:00,44.962106825,-93.2917195559,United States,Minnesota
212715,Nightlife,129781,2010-07-29 02:16:48+00:00,44.962106825,-93.2917195559,United States,Minnesota
214386,Nightlife,129781,2010-07-29 02:17:35+00:00,44.962106825,-93.2917195559,United States,Minnesota
214386,Nightlife,129781,2010-06-21 00:09:07+00:00,44.962106825,-93.2917195559,United States,Minnesota
2320258,Nightlife,129781,2011-03-17 02:39:13+00:00,44.962106825,-93.2917195559,United States,Minnesota
5333,Nightlife,129781,2010-02-14 03:50:21+00:00,44.962106825,-93.2917195559,United States,Minnesota
4970,Nightlife,129781,2010-02-22 05:24:24+00:00,44.962106825,-93.2917195559,United States,Minnesota
533055,Nightlife,129781,2011-04-16 02:04:33+00:00,44.962106825,-93.2917195559,United States,Minnesota
8624,Nightlife,1223213,2011-06-30 03:00:12+00:00,44.9482203856,-93.297239542,United States,Minnesota
8624,Nightlife,1223213,2011-06-23 03:37:22+00:00,44.9482203856,-93.297239542,United States,Minnesota
1337,Nightlife,1223213,2011-06-04 21:41:57+00:00,44.9482203856,-93.297239542,United States,Minnesota
45852,Nightlife,1223213,2010-07-17 19:20:39+00:00,44.9482203856,-93.297239542,United States,Minnesota
45852,Nightlife,1223213,2010-06-16 17:19:08+00:00,44.9482203856,-93.297239542,United States,Minnesota
49061,Nightlife,1223213,2011-06-30 03:34:18+00:00,44.9482203856,-93.297239542,United States,Minnesota
49061,Nightlife,1223213,2011-06-23 03:37:47+00:00,44.9482203856,-93.297239542,United States,Minnesota
